variable,GT_remit,HND_remit,SLV_remit,GT_noremit,HND_noremit,SLV_noremit
exp_monthly_communication_pc,2.6,3.748571428571428,2.8,1.625,2.05,2.5
exp_monthly_drinking_water_pc,0.10833333333333334,1.4896666666666665,1.25,0.0,0.6833333333333332,0.75
exp_monthly_electric_power_pc,3.9,5.125,4.6,2.6,3.28,5.0
exp_monthly_food_pc,26.0,30.2375,30.0,19.5,24.6,24.0
exp_monthly_fuel_pc,4.225,1.902820512820513,2.1666666666666665,4.360416666666667,0.5125,2.3333333333333335
exp_monthly_hygiene_pc,4.333333333333333,3.075,6.0,2.654166666666667,2.733333333333333,5.0
exp_monthly_other_pc,0.0,0.0,0.0,0.0,0.0,0.0
exp_monthly_rent_pc,0.0,0.0,0.0,0.0,0.0,0.0
exp_monthly_transport_pc,1.5166666666666666,2.0500000000000003,3.0,1.3,1.025,2.5
exp_monthly_water_pc,0.26,0.41,1.25,0.16482142857142856,0.32799999999999996,1.25
monthly_expenditure_pc,47.88333333333333,55.177800000000005,58.8,38.458333333333336,41.888333333333335,50.0
